Name;Author;Url;PreparationTime;Portions
Croquetas de Atún y Arroz;Gourmet;https://www.gourmet.cl/recetas/croquetas-atun-arroz/;;
Tortilla de Verduras;Gourmet;https://www.gourmet.cl/recetas/tortilla-de-verduras/;15;5 
Hamburguesas de Lentejas;Gourmet;https://www.gourmet.cl/recetas/hamburguesas-de-lentejas/;60;6 
Curanto en Olla o Pulmay;Gourmet;https://www.gourmet.cl/recetas/curanto-en-olla-o-pulmay/;50;8 
Pasta Carbonara;Gourmet;https://www.gourmet.cl/recetas/pasta-carbonara/;15;4
Crema de Arvejas con Tocino;Gourmet;https://www.gourmet.cl/recetas/crema-de-arvejas-y-tocino/;15;4 
Kubbhe;Gourmet;https://www.gourmet.cl/recetas/kubbhe/;100;6 
Pulpo al Olivo;Gourmet;https://www.gourmet.cl/recetas/pulpo-al-olivo/;4;6 
Palanca a la Parrilla;Gourmet;https://www.gourmet.cl/recetas/palanca-a-la-parrilla/;90;6 
Papa Gringa A la Chilena;Gourmet;https://www.gourmet.cl/recetas/papa-gringa-a-la-chilena/;55;6 
Tortilla Española;Gourmet;https://www.gourmet.cl/recetas/tortilla-espanola/;50;6 
Crema de Choritos;Gourmet;https://www.gourmet.cl/recetas/crema-de-choritos/;20;4 
Sándwich de Carne Mechada con cebolla...;Gourmet;https://www.gourmet.cl/recetas/sandwich-de-carne-mechada-con-cebolla.../;120;4 
Pollo al Mole con Arroz al Cilantro;Gourmet;https://www.gourmet.cl/recetas/pollo-al-mole-con-arroz-al-cilantro/;90;6 
Sandwich Vegetariano;Gourmet;https://www.gourmet.cl/recetas/sandwich-vegetariano/;45;2 
Hamburguesas Chilenas;Gourmet;https://www.gourmet.cl/recetas/hamburguesas-chilenas/;50;6 
Ciabatta de Jamón Serrano;Gourmet;https://www.gourmet.cl/recetas/ciabatta-de-jamon-serrano/;20;2 
Hojitas de parra y repollo rellenas;Gourmet;https://www.gourmet.cl/recetas/hojitas-de-parra-y-repollo-rellenas/;60;4 
Ratatouille;Gourmet;https://www.gourmet.cl/recetas/ratatouille/;45;6 
Medallones de Filete con Tocino, Papas Gajo y...;Gourmet;https://www.gourmet.cl/recetas/medallones-de-filete-con-tocino,-papas-gajo-y.../;60;4 
Guiso Zapallo Italiano;Gourmet;https://www.gourmet.cl/recetas/guiso-zapallo-italiano/;20;4 
Cazuela de Albóndigas;Gourmet;https://www.gourmet.cl/recetas/cazuela-de-albondigas/;50;6 
Sushi Nikkei con Salsa Cebiche;Gourmet;https://www.gourmet.cl/recetas/sushi-nikkei-con-salsa-cebiche/;50;3 
Arepas Reina Pepiada;Gourmet;https://www.gourmet.cl/recetas/arepas-reina-pepiada/;60;4 
Asado de Tira a la Cerveza con Puré Rústico;Gourmet;https://www.gourmet.cl/recetas/asado-de-tira-a-la-cerveza-con-pure-rustico/;180;6 
Chorrillana;Gourmet;https://www.gourmet.cl/recetas/chorrillana/;60;6 
Parrilla de Verduras Asadas;Gourmet;https://www.gourmet.cl/recetas/parrilla-de-verduras-asadas/;60;6 
Quinotto de Camarones;Gourmet;https://www.gourmet.cl/recetas/quinotto-de-camarones/;30;5 
Tarta de zapallo y cebolla caramelizada;Gourmet;https://www.gourmet.cl/recetas/tarta-de-zapallo-y-cebolla-caramelizada/;65;8 
Puré rústico y pollo con champiñones;Gourmet;https://www.gourmet.cl/recetas/pollo-relleno-con-champinones-sobre-pure-rustico/;50;3 
Carne Mongoliana Gourmet;Gourmet;https://www.gourmet.cl/recetas/carne-mongoliana-gourmet/;;
Pollo al Limón;Gourmet;https://www.gourmet.cl/recetas/pollo-al-limon/;95;5 
Pescado con Costra de Quínoa;Gourmet;https://www.gourmet.cl/recetas/pescado-con-costra-de-quinoa/;30;4 
Ñoquis de Papa y Ricota con Salsa de Salmón...;Gourmet;https://www.gourmet.cl/recetas/noquis-de-papa-y-ricota-con-salsa-de-salmon.../;55;4 
Pollo estilo Celebración;Gourmet;https://www.gourmet.cl/recetas/pollo-estilo-celebracion/;70;8 
Arroz con Crema de Choclo;Gourmet;https://www.gourmet.cl/recetas/arroz-con-crema-de-choclo/;25;6 
Arroz al Cilantro;Gourmet;https://www.gourmet.cl/recetas/arroz-al-cilantro/;25;6 
Tomaticán;Gourmet;https://www.gourmet.cl/recetas/tomatican/;25;4 
Arroz al Sésamo;Gourmet;https://www.gourmet.cl/recetas/arroz-al-sesamo/;22;6 
Guiso de Pollo con Cebolla;Gourmet;https://www.gourmet.cl/recetas/guiso-de-pollo-con-cebolla/;35;6 
Pollo Escabechado;Gourmet;https://www.gourmet.cl/recetas/pollo-escabechado/;60;4 
Porotos con Riendas;Gourmet;https://www.gourmet.cl/recetas/porotos-con-riendas/;120;6 
Budín de Zapallo Italiano;Gourmet;https://www.gourmet.cl/recetas/budin-de-zapallitos-italianos/;60;5 
Carne a la Cerveza;Gourmet;https://www.gourmet.cl/recetas/carne-a-la-cerveza/;120;6 
Niños Envueltos;Gourmet;https://www.gourmet.cl/recetas/ninos-envueltos/;55;6 
Zapallitos Italianos Rellenos con Pesto de...;Gourmet;https://www.gourmet.cl/recetas/zapallitos-italianos-rellenos-con-pesto-de.../;50;6 
Pollo Tandoori;Gourmet;https://www.gourmet.cl/recetas/pollo-tandoori/;55;8 
Tacu Tacu de Camarones;Gourmet;https://www.gourmet.cl/recetas/tacu-tacu-de-camarones/;25;4 
Pavo con Salsa de Arándanos y Papas Duquesas;Gourmet;https://www.gourmet.cl/recetas/pavo-con-salsa-de-arandanos-y-papas-duquesas/;60;6 
Malaya Rellena;Gourmet;https://www.gourmet.cl/recetas/malaya-rellena/;110;6 
Pollo con salsa de Champiñones y Chalotas;Gourmet;https://www.gourmet.cl/recetas/pollo-con-salsa-de-champinones-y-chalotas/;30;4 
Papas Asadas a las Finas Hierbas;Gourmet;https://www.gourmet.cl/recetas/papas-asadas-con-hierbas-y-chalotas/;40;4 
Salsa de Tomates Casera;Gourmet;https://www.gourmet.cl/recetas/salsa-de-tomates-casera/;25;2
Pasta con Zapallitos Italianos, Albahaca y...;Gourmet;https://www.gourmet.cl/recetas/pasta-con-zapallitos-italianos,-albahaca-y.../;15;4 
Macarrones con Queso;Gourmet;https://www.gourmet.cl/recetas/macarrones-con-queso/;45;6
Estofado de Osobuco;Gourmet;https://www.gourmet.cl/recetas/estofado-de-osobuco/;60;6
Lasaña en Masa Filo de Pollo y Champiñones;Gourmet;https://www.gourmet.cl/recetas/lasana-en-masa-filo-de-pollo-y-champinones/;40;2 
Wrap de Ensalada Griega;Gourmet;https://www.gourmet.cl/recetas/wrap-de-ensalada-griega/;40;8
Reineta en Salsa Atomatada;Gourmet;https://www.gourmet.cl/recetas/reineta-en-salsa-atomatada/;30;6
Carne con Salsa de Mostaza;Gourmet;https://www.gourmet.cl/recetas/carne-con-salsa-de-mostaza/;40;6
